#input, Strategy, Shape Filter, Container Height, Rotations Allowed, Number of rectangles, Input sorted, Fill rate, # Mutations
1, SimulatedAnnealing, None, 110, false, 25, -, 0.87181216, 100
1, SimulatedAnnealing, None, 110, false, 25, -, 0.8638866, 200
1, SimulatedAnnealing, None, 110, false, 25, -, 0.84451693, 300
1, SimulatedAnnealing, None, 110, false, 25, -, 0.8308556, 400
1, SimulatedAnnealing, None, 110, false, 25, -, 0.8638866, 500
1, SimulatedAnnealing, None, 110, false, 25, -, 0.8638866, 600
1, SimulatedAnnealing, None, 110, false, 25, -, 0.88397694, 700
1, SimulatedAnnealing, None, 110, false, 25, -, 0.87181216, 800
2, SimulatedAnnealing, None, 97, true, 10, -, 0.897253, 100
2, SimulatedAnnealing, None, 97, true, 10, -, 0.897253, 200
2, SimulatedAnnealing, None, 97, true, 10, -, 0.9055353, 300
2, SimulatedAnnealing, None, 97, true, 10, -, 0.897253, 400
2, SimulatedAnnealing, None, 97, true, 10, -, 0.8785044, 500
2, SimulatedAnnealing, None, 97, true, 10, -, 0.897253, 600
2, SimulatedAnnealing, None, 97, true, 10, -, 0.897253, 700
2, SimulatedAnnealing, None, 97, true, 10, -, 0.897253, 800
3, SimulatedAnnealing, None, 12, false, 25, -, 0.8697183, 100
3, SimulatedAnnealing, None, 12, false, 25, -, 0.8458904, 200
3, SimulatedAnnealing, None, 12, false, 25, -, 0.8458904, 300
3, SimulatedAnnealing, None, 12, false, 25, -, 0.8576389, 400
3, SimulatedAnnealing, None, 12, false, 25, -, 0.8458904, 500
3, SimulatedAnnealing, None, 12, false, 25, -, 0.8697183, 600
3, SimulatedAnnealing, None, 12, false, 25, -, 0.8576389, 700
3, SimulatedAnnealing, None, 12, false, 25, -, 0.8576389, 800
4, SimulatedAnnealing, None, 120, true, 25, -, 0.86417896, 100
4, SimulatedAnnealing, None, 120, true, 25, -, 0.8863374, 200
4, SimulatedAnnealing, None, 120, true, 25, -, 0.8629391, 300
4, SimulatedAnnealing, None, 120, true, 25, -, 0.8688729, 400
4, SimulatedAnnealing, None, 120, true, 25, -, 0.8570859, 500
4, SimulatedAnnealing, None, 120, true, 25, -, 0.87749267, 600
4, SimulatedAnnealing, None, 120, true, 25, -, 0.8562561, 700
4, SimulatedAnnealing, None, 120, true, 25, -, 0.86674076, 800
5, SimulatedAnnealing, None, 11, false, 10, -, 0.82323235, 100
5, SimulatedAnnealing, None, 11, false, 10, -, 0.82323235, 200
5, SimulatedAnnealing, None, 11, false, 10, -, 0.82323235, 300
5, SimulatedAnnealing, None, 11, false, 10, -, 0.82323235, 400
5, SimulatedAnnealing, None, 11, false, 10, -, 0.82323235, 500
5, SimulatedAnnealing, None, 11, false, 10, -, 0.82323235, 600
5, SimulatedAnnealing, None, 11, false, 10, -, 0.82323235, 700
5, SimulatedAnnealing, None, 11, false, 10, -, 0.82323235, 800
6, SimulatedAnnealing, None, 51, true, 25, -, 0.8335239, 100
6, SimulatedAnnealing, None, 51, true, 25, -, 0.8595135, 200
6, SimulatedAnnealing, None, 51, true, 25, -, 0.8407877, 300
6, SimulatedAnnealing, None, 51, true, 25, -, 0.84262353, 400
6, SimulatedAnnealing, None, 51, true, 25, -, 0.8500475, 500
6, SimulatedAnnealing, None, 51, true, 25, -, 0.85380876, 600
6, SimulatedAnnealing, None, 51, true, 25, -, 0.83895993, 700
6, SimulatedAnnealing, None, 51, true, 25, -, 0.86896247, 800
7, SimulatedAnnealing, None, 7, true, 10, -, 0.9159664, 100
7, SimulatedAnnealing, None, 7, true, 10, -, 0.9159664, 200
7, SimulatedAnnealing, None, 7, true, 10, -, 0.9159664, 300
7, SimulatedAnnealing, None, 7, true, 10, -, 0.9159664, 400
7, SimulatedAnnealing, None, 7, true, 10, -, 0.9159664, 500
7, SimulatedAnnealing, None, 7, true, 10, -, 0.9159664, 600
7, SimulatedAnnealing, None, 7, true, 10, -, 0.9159664, 700
7, SimulatedAnnealing, None, 7, true, 10, -, 0.9159664, 800
8, SimulatedAnnealing, None, 16, true, 10, -, 0.88848037, 100
8, SimulatedAnnealing, None, 16, true, 10, -, 0.88848037, 200
8, SimulatedAnnealing, None, 16, true, 10, -, 0.88848037, 300
8, SimulatedAnnealing, None, 16, true, 10, -, 0.88848037, 400
8, SimulatedAnnealing, None, 16, true, 10, -, 0.88848037, 500
8, SimulatedAnnealing, None, 16, true, 10, -, 0.88848037, 600
8, SimulatedAnnealing, None, 16, true, 10, -, 0.8713942, 700
8, SimulatedAnnealing, None, 16, true, 10, -, 0.8713942, 800
9, SimulatedAnnealing, None, 30, false, 10, -, 0.8947619, 100
9, SimulatedAnnealing, None, 30, false, 10, -, 0.8947619, 200
9, SimulatedAnnealing, None, 30, false, 10, -, 0.9348259, 300
9, SimulatedAnnealing, None, 30, false, 10, -, 0.9348259, 400
9, SimulatedAnnealing, None, 30, false, 10, -, 0.92107844, 500
